clip,state,stance,kind,rigs,verdict,seconds,frames,loops,travel_cm,hips_min_cm,hips_max_cm,note
Rifle Aim To Down,Aim.Down,stand,once,RAMS,use,1.5,46,False,15.1,97.8,101.7,lower it when the target is lost
Rifle Aim To Kneel,Aim.Down,kneel,once,RAMS,use,0.8,25,False,13.4,38.9,49.9,kneeling
Rifle Down To Aim,Aim.Up,stand,once,RAMS,use,0.87,27,False,11.2,99.6,101.7,raise the rifle when a target appears (34 deg turn: strip)
Rifle Kneel To Aim,Aim.Up,kneel,once,RAMS,use,0.8,25,False,8.3,38.9,48.2,kneeling
Emerging,Cover.Leave,stand,once,RAMS,use,2.3,70,False,338.5,84.0,95.4,"out from cover into a run (339 cm, 74 deg turn: strip)"
Taking Cover,Cover.Take,stand,once,RAMS,use,2.27,69,False,137.3,88.9,100.4,"run in and turn against the wall (137 cm, 90 deg: strip)"
Death Crouching Headshot Front,Death.Kneel,kneel,once,RAMS,use,1.9,58,False,96.8,11.1,85.5,from the squat
Rifle Kneel Hit To Back,Death.Kneel,kneel,once,RAMS,use,1.9,58,False,129.3,15.4,44.1,"from one knee, thrown back"
Rifle Run To Dying,Death.Run,stand,once,RAMS,use,2.47,75,False,401.3,17.0,85.9,shot at a run (401 cm: strip)
Death From Back Headshot,Death.Stand,stand,once,RAMS,use,3.7,112,False,98.5,15.7,97.6,
Death From Front Headshot,Death.Stand,stand,once,RAMS,use,2.83,86,False,39.7,13.9,99.5,drops on the spot (40 cm)
Death From Right,Death.Stand,stand,once,RAMS,use,3.3,100,False,90.2,14.2,97.6,shot from the right
Death From The Back,Death.Stand,stand,once,RAMS,use,2.97,90,False,117.5,17.2,101.1,shot from behind
Death From The Front,Death.Stand,stand,once,RAMS,use,3.43,104,False,108.9,18.8,106.2,shot from the front
Rifle Death,Death.Stand,stand,once,RAMS,use,3.8,115,False,108.2,16.7,100.2,"3.8 s, rifle held"
Rifle Hit To Back,Death.Stand,stand,once,RAMS,use,1.77,54,False,143.9,17.5,101.7,thrown back (144 cm: strip): shell
Walking To Dying,Death.Walk,stand,once,RAMS,use,3.07,93,False,167.9,23.7,98.8,shot while walking
Walking To Dying (1),Death.Walk,stand,once,RAMS,use,2.9,88,False,245.4,23.6,103.6,variant
Dive Roll,Dive,stand,once,RA,use,2.37,72,True,374.8,17.3,104.2,dive to the ground and up (375 cm travel: strip); shell landing close
Rifle Rubbing Eyes,Fidget.Kneel,kneel,once,RAMS,use,1.83,56,False,2.2,38.9,46.3,kneeling fidget; at night and in gas
Check Shoe,Fidget.Stand,stand,once,RAO,use,4.7,142,False,5.0,97.9,101.3,"rear line only; ends in a different foot stance, crossfade back"
Inspecting,Fidget.Stand,stand,once,RAMSO,use,3.17,96,True,0.0,100.2,100.8,looks the rifle over
Rifle Idle (4),Fidget.Stand,stand,loop,RAMS,use,5.93,179,True,0.1,81.3,100.9,dips to 81 cm: a stretch; play once as a fidget
Turning Right 45 Degrees (1),Fidget.Stand,stand,loop,RAMS,spare,1.0,31,True,0.0,100.0,102.5,a foot shuffle in place (no yaw): a fidget
Firing Rifle (4),Fire.CrouchWalk,crouch,loop,RAM,use,1.17,36,True,0.0,75.2,79.2,firing while stooped (hips 77)
Fire Rifle,Fire.Kneel,kneel,once,RAMS,use,1.03,32,True,0.0,46.3,47.7,kneeling shot (hips 46)
Prone Firing Rifle,Fire.Prone,prone,once,RMS,use,0.83,26,True,0.0,13.0,13.2,0.83 s prone shot
Prone Firing Rifle (1),Fire.Prone,prone,once,M,use,0.43,14,True,0.0,13.0,13.0,0.43 s: the machine-gun burst loop
Firing Rifle (3),Fire.Run,stand,loop,RA,use,1.0,31,True,0.0,91.9,98.1,firing while running (hips 92 = Rifle Run)
Shoot Rifle,Fire.Run,stand,loop,RA,use,0.93,29,True,0.0,85.3,97.6,run-and-shoot variant
Firing Rifle (5),Fire.Sprint,stand,loop,A,use,0.57,18,True,0.0,82.8,91.0,hip fire at a sprint (0.57 s cycle): assault only
Firing Rifle,Fire.Stand.Aimed,stand,once,RS,use,0.27,9,True,0.0,100.1,100.2,0.27 s single aimed shot: the sniper and the rifleman
Firing Rifle (1),Fire.Stand.Aimed,stand,once,RS,use,1.17,36,True,0.0,100.1,100.2,1.17 s aimed shot with a settle
Firing Rifle (2),Fire.Walk,stand,loop,RA,use,3.27,99,True,0.0,94.2,99.8,firing while walking (hips 95 = Walking)
Firing Rifle (6),Fire.Walk,stand,loop,RA,use,1.37,42,True,0.0,93.7,99.4,variant
Firing Rifle (7),Fire.Walk,stand,loop,RA,use,1.33,41,True,0.0,94.2,99.9,variant
Rifle Prone Hit Reaction,Hit.Prone,prone,once,RAMS,use,1.23,38,True,0.0,13.0,13.9,"and, held on its last frame, the prone death (none in the set)"
Hit Reaction (2),Hit.Run,stand,once,RAMS,use,0.6,19,True,0.2,82.8,91.8,"0.6 s: hit while running, keeps going"
Hit Reaction (1),Hit.Stand,stand,once,RAMS,use,2.3,70,True,0.0,83.5,93.7,2.3 s
Hit Reaction (3),Hit.Stand,stand,once,RAMS,use,2.43,74,True,0.0,85.4,95.2,2.4 s variant
Hit Reaction,Hit.Stand.Heavy,stand,once,RAMS,use,3.1,94,True,0.0,63.2,100.9,3.1 s stagger to 63 cm and back: a heavy hit
Walking Hit Reaction,Hit.Walk,stand,once,RAMS,use,1.37,42,True,0.6,93.7,99.1,hit while walking
Crouch Idle,Idle.Crouch,kneel,loop,RAMS,use,6.7,202,True,0.0,46.3,46.6,"hips 46: squat, 6.7 s"
Idle Crouching,Idle.Crouch,kneel,loop,RAMS,use,2.1,64,True,0.0,46.2,46.4,variant
Idle Crouching Aiming,Idle.Crouch.Aim,kneel,loop,RAMS,use,2.1,64,True,0.0,46.2,46.4,aimed from the squat
Rifle Kneel Idle,Idle.Kneel,kneel,loop,RAMS,use,1.7,52,True,0.0,38.9,38.9,hips 39: one knee down
Prone Idle,Idle.Prone,prone,loop,RAMS,use,4.93,149,True,0.0,13.0,13.2,4.9 s
Idle,Idle.Stand,stand,loop,RAMSO,use,2.1,64,True,0.0,96.9,97.6,unarmed-style stance; use for the rear line when the rifle is slung
Idle Aiming,Idle.Stand.Aim,stand,loop,RAMS,use,2.1,64,True,0.0,97.8,97.9,aimed variant
Rifle Aiming Idle,Idle.Stand.Aim,stand,loop,RAMS,use,3.1,94,True,0.0,100.1,100.4,"aimed, target held, not firing"
Rifle Idle,Idle.Stand.Ready,stand,loop,RAMS,use,8.57,258,True,0.0,101.8,102.3,"primary ready idle, looks about (8.6 s)"
Rifle Idle (1),Idle.Stand.Ready,stand,loop,RAMS,use,2.83,86,True,0.0,100.0,100.3,"short variant (2.8 s), for the phase-offset pool"
Rifle Idle (2),Idle.Stand.Ready,stand,loop,RAMS,use,7.7,232,True,0.0,101.7,102.8,"variant, head turns"
Rifle Idle (3),Idle.Stand.Ready,stand,loop,RAMS,use,10.63,320,True,0.0,97.3,102.0,"variant, shifts weight (10.6 s)"
Jump,Jump,stand,once,,ditch,2.77,84,True,396.7,78.2,105.3,4 m running jump
Jump Backward,Jump,stand,loop,,ditch,0.9,28,True,0.0,93.3,112.8,hop cycle
